ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
IJR,-19.999999999999996,10.630000000000006,1,iShares Core S&P Small-Cap ETF,106.47,-0.08000183,-0.0007508384,3541531,60235403264,4342370,106.55
WSR,-19.999999999999996,39.99999999999999,2,Whitestone REIT,13,-0.03999996,-0.0030674817999999998,453152,648897600,386196,13.04
NICE,-14.635279034690797,-6.575215393452039,3,NICE Ltd.,215.95,-6.630005,-0.029787066,368196,13877011456,344642,222.58
APVO,-13.33333333333333,-7.4224999999999985,4,Aptevo Therapeutics Inc.,4.88,-0.19999981,-0.03937004,85654,23706485,396254,5.08
RETA,-13.33333333333333,6.666666666666665,5,"Reata Pharmaceuticals, Inc.",33.32,0.23999786,0.0072550744,365793,1049069204,358961,33.08
RDFN,-10.925925925925927,6.319444444444433,6,Redfin Corporation,19.75,-0.26000023,-0.012993515,1212925,2102397844,2647783,20.01
IMO.TO,-10.312500000000002,0,7,Imperial Oil Limited,56.72,-0.63,-0.01095,1147571,38080968764,861427,57.54
ROOT,-9.999999999999998,31.875000000000007,8,"Root, Inc.",1.64,-0.01999998,-0.012048181,1425354,254152500,2661541,1.66
MGTX,-8.906250000000004,-4.545454545454541,9,MeiraGTx Holdings plc,14.42,0.07,0.00488,0,640949158,125031,14.35
DATS,-8.630952380952383,8.577235772357717,10,"DatChat, Inc.",1.6,-0.09000003,-0.053254457000000005,348733,31257883,658729,1.69
TD,-8.40909090909091,8.305072463768104,11,The Toronto-Dominion Bank,76.96,0.11000061,0.0014313677,1644830,140594380800,2231365,76.85
AIHS,-7.499999999999996,25.201851851851842,12,Senmiao Technology Limited,0.32,-0.01620001,-0.04818562,386435,20771712,479603,0.3362
FCF,-7.364999999999999,-13.071794871794873,13,First Commonwealth Financial Corporation,15.48,0,0,322847,1459750144,726165,15.48
NTR.TO,-6.666666666666677,0,14,Nutrien Ltd.,130.16,8.410004,0.06907601,2915593,71757594624,828140,121.75
SLI,-6.489090909090923,12.220370370370382,15,Standard Lithium Ltd.,5.92,0.12,0.02069,0,941251330,2100919,5.77
ABUS,-6.374927536231889,8.19516908212561,16,Arbutus Biopharma Corporation,3.09,-0.10000014,-0.031348004,1508351,459302964,2682771,3.19
ADOC,-6.25,39.99999999999999,17,Edoc Acquisition Corp.,10.185,0.045,0.00444,0,32869460,10408,10.14
JAGX,-6.243095238095231,11.05875527426161,18,"Jaguar Health, Inc.",0.4074,-0.01249999,-0.029768965,2260541,19815821,6559186,0.4199
RUSL,-5.625000000000002,8.004999999999995,19,Direxion Daily Russia Bull 2X Shares,2.58,0,0,176,58446609,17914502,2.58
RIOT,-5.5312610229276915,-7.455036784376667,20,"Riot Blockchain, Inc.",16.51,-0.32999992,-0.019596195,6341083,1924785408,10942783,16.84
EMA.TO,-5.296428571428569,0,21,Emera Incorporated,60.41,-0.0699997,-0.0011574024,464677,15779091456,654988,60.48
HTBX,-5.000000000000004,-11.111111111111105,22,"Heat Biologics, Inc.",2.44,-0.00999999,-0.0040816286000000005,59815,61984586,91660,2.45
EPIX,-4.7303921568627505,-7.499999999999996,23,ESSA Pharma Inc.,7.14,-0.29,-0.03903,0,228939895,214762,7.43
EPRT,-4.6875,25.625000000000007,24,"Essential Properties Realty Trust, Inc.",24.88,-0.04000092,-0.0016051732,1200812,3138835712,591956,24.92
PACE,-4.266666666666675,-23.366666666666667,25,TPG Pace Tech Opportunities Corp.,11.2,0,0,1046135,520200000,1577332,11.2
AB,-3.6499999999999977,25.178571428571427,26,AllianceBernstein Holding L.P.,44.34,-0.5400009,-0.012032106,397776,4401707008,413871,44.88
FRTA,-3.066666666666662,0,27,"Forterra, Inc.",23.58,0.02,0.00085,0,1590463337,271649,23.56
NOV,-3.0657894736842106,11.434399551066221,28,NOV Inc.,21.91,0.8199997,0.03888097,6426261,8603297183,9617980,21.09
DIDI,-2.9212155108128246,14.33778735632183,29,DiDi Global Inc.,3.38,-0.39999986,-0.10582006,22692688,14716175686,31586569,3.78
J,-2.9166666666666674,19.920000000000005,30,Jacobs Engineering Group Inc.,124.62,-1.0099945,-0.0080394375,944779,16103022592,595181,125.63
SESN,-2.5925925925925797,-1.7666666666666608,31,"Sesen Bio, Inc.",0.6737,-0.00280005,-0.0041390204,1246307,134378658,2071818,0.6765
ERIC,-2.34375,22.42660256410256,32,Telefonaktiebolaget LM Ericsson (publ),8.39,-0.03999996,-0.0047449538,9829187,25762038381,18133621,8.43
TIGR,-2.1229166666666632,6.56000000000001,33,UP Fintech Holding Limited,3.6,-0.35000014,-0.08860764,3980060,584550016,2461183,3.95
VINE,-1.9666666666666721,5.254629629629637,34,"Fresh Vine Wine, Inc.",3.74,0,0,0,0,298574,3.94
JACK,-1.954166666666668,0.8333333333333304,35,Jack in the Box Inc.,82.33,0.2400055,0.0029236874,289920,1732511360,452324,82.09
NAKD,-1.777777777777767,11.428153153153154,36,Cenntro Electric Group Limited,2.61,-0.46,-0.149837,14904169,2366144954,15468900,3.07
RIVN,-1.7602108859272159,3.7565669802867463,37,"Rivian Automotive, Inc.",41.16,-2.790001,-0.06348124999999999,28608580,36699285761,15784712,43.95
CVE.TO,-1.526666666666665,0,38,Cenovus Energy Inc.,20.39,0.09000015,0.0044335052,8343173,40683757568,3342344,20.3
AQST,-1.4285714285714235,2.499999999999991,39,"Aquestive Therapeutics, Inc.",2.55,-0.25,-0.08928572000000001,407182,104913048,397420,2.8
REGN,-1.380625000000002,29.188468013468018,40,"Regeneron Pharmaceuticals, Inc.",630.36,6.9299927,0.011115911000000001,480626,68418641920,538933,623.43
YY,-1.3636363636363669,7.166666666666677,41,JOYY Inc.,37.33,-4.799999,-0.11393304,995083,2300737417,392089,42.13
AL,-1.2900000000000023,1.1904761904761862,42,Air Lease Corporation,36.25,0.34,0.00947,0,4093278700,1670473,35.92
CRXT,-1.2062499999999976,5.000000000000004,43,"Clarus Therapeutics Holdings, Inc.",0.64,-0.02000004,-0.030303092,830271,13795894,803536,0.66
AGS,-0.9209677419354856,0,44,"PlayAGS, Inc.",7.87,0,0,0,290628893,271363,7.72
DISCK,-0.7531249999999989,4.759615384615379,45,"Discovery, Inc.",25.06,-0.25,-0.009877519,4135512,12711133184,4283783,25.31
CMMB,-0.4911764705882393,10.887500000000006,46,Chemomab Therapeutics Ltd.,4.09,0.3000002,0.07915572,106429,45275921,120616,3.79
EH,-0.43333333333333,12.843171296296308,47,EHang Holdings Limited,12.19,-0.02000046,-0.0016380391999999998,587609,398815675,599994,12.21
JETS,-0.2116402116402072,5.871362433862437,48,U.S. Global Jets ETF,18.53,-0.14999962,-0.008029958,12735202,3276104000,17499913,18.68
CNTX,-0.13333333333332975,21.425925925925917,49,Context Therapeutics Inc.,1.95,0.07000005,0.037234073,226798,21219313,586154,1.88
SI,-0.08905228758170347,4.385849056603774,50,Silvergate Capital Corporation,131.01,4.349991,0.034343839,812298,4143125504,1532487,126.66
RIG,-0.07581300813008784,-0.8394357092942006,51,Transocean Ltd.,4.96,0.03999996,0.0081300735,45175803,3255632435,69440333,4.92
ASTI,0,0,52,"Ascent Solar Technologies, Inc.",8.6,-0.29,-0.03262,0,263046514,10893,8.89
OTEX.TO,0,0,53,Open Text Corporation,54.63,-0.54999924,-0.009967365,503300,14814946304,285896,55.18
IINN,0,43.75,54,Inspira Technologies Oxy B.H.N. Ltd.,2.44,0.05999994,0.025210059,64413,16801779,74354,2.38
GIII,0,-11.250000000000004,55,"G-III Apparel Group, Ltd.",24.75,-0.02000046,-0.0008074468,355657,1202070400,616690,24.77
T.TO,0,0,56,TELUS Corporation,33.24,0.1074028,0.0032416052,3151458,45545783296,1138758,33.1326
LSTR,0,19.999999999999996,57,"Landstar System, Inc.",154.14,-0.13999939,-0.0009074371,217920,5748604928,206436,154.28
WBEV,0,8.749999999999991,58,"Winc, Inc.",3.6,-0.5,-0.12195122,37716,48228358,11724,4.1
CYN,0,6.941666666666668,59,Cyngn Inc.,1.38,-0.07000005,-0.048275895,63216,36479313,89570,1.45
BYSI,0,36.25000000000001,60,BeyondSpring Inc.,1.99,-0.11999989,-0.056871986000000006,259614,78017420,344298,2.11
NOVN,0.06227272727272748,25.04875,61,"Novan, Inc.",3.51,0.03999996,0.011527365000000001,67547,65294442,94621,3.47
OCX,0.3482142857142767,7.539682539682535,62,OncoCyte Corporation,1.4,0.10000002,0.076923094,380313,129124012,487034,1.3
VLON,0.4833333333333245,-2.2916666666666696,63,"Vallon Pharmaceuticals, Inc.",6.145,-0.4949999,-0.07454818,196533,41830813,105050,6.64
W,0.6091049382715985,13.839583333333326,64,Wayfair Inc.,120.73,-5.9799957,-0.047194347,1710332,9585472319,1700904,126.71
CODX,0.6722222222222074,13.01000000000001,65,"Co-Diagnostics, Inc.",5.53,-0.10999966,-0.019503485,554574,161255360,368942,5.64
MFC.TO,0.7407407407407307,0,66,Manulife Financial Corporation,25,-0.17000008,-0.006754075000000001,9767251,48567750656,5896447,25.17
CGC,0.7713696876600062,30.54629166666667,67,Canopy Growth Corporation,6.4,-0.26999998,-0.040479755,5467836,2526635572,5281779,6.67
KALV,0.823039215686272,-7.692307692307687,68,"KalVista Pharmaceuticals, Inc.",16.38,-0.59,-0.03477,0,400815340,146949,16.97
DKNG,1.029422722197948,13.293398231425302,69,DraftKings Inc.,17.58,-0.20000076,-0.011248636000000001,31374403,7184544631,25492166,17.78
ES,1.2361950128277233,4.741377274487024,70,Eversource Energy,84.36,0.16999817,0.0020192204,2153851,29056958464,2720958,84.19
LYFT,1.2826164874552015,17.883032128514053,71,"Lyft, Inc.",37.63,-0.16999817,-0.0044973059999999995,3869204,12792495888,7336415,37.8
ACA,1.2854782382069274,14.93133534136546,72,"Arcosa, Inc.",57.79,0.45000076,0.007847938,269385,2791985152,340691,57.34
BEKE,1.399099937926751,11.55613207547168,73,KE Holdings Inc.,11.65,0.65,0.05909,0,9853769409,21457053,14.46
BBBY,1.7143111376398235,8.087277876280542,74,Bed Bath & Beyond Inc.,20.96,-1.5700016,-0.06968492999999999,5796443,2019238464,8323647,22.53
MSTR,1.7578253968253854,17.580999708752,75,MicroStrategy Incorporated,421.13,-15.619995,-0.035764158,291542,3910442301,458138,436.75
DWAC,2.155839935258541,5.078217775384863,76,Digital World Acquisition Corp.,70.29,-5.449997,-0.07195666,2846479,2110614278,2299264,75.74
OCUP,2.2222222222222143,26.66666666666666,77,"Ocuphire Pharma, Inc.",3.55,0.12,0.03499,0,61416708,85502,3.43
NKLA,2.259137895834318,9.547274691358032,78,Nikola Corporation,7.96,0.09000015,0.011435852,8977581,3210758819,10966768,7.87
XPO,2.2733333333333494,10.436827956989237,79,"XPO Logistics, Inc.",72.39,2.3499985,0.033552234,1801618,8309864960,5006450,70.04
QS,2.361025641025649,16.736904761904746,80,QuantumScape Corporation,15.85,-0.15999985,-0.009993744,4936219,5300064636,7270240,16.01
SMSI,2.3687500000000083,16.67261904761905,81,"Smith Micro Software, Inc.",3.87,-0.09000015,-0.022727309999999997,215505,211167908,193052,3.96
SDC,2.390277777777783,16.014522417153998,82,"SmileDirectClub, Inc.",2.13,-0.06999993,-0.031818151,2981908,258157601,2540280,2.2
PM,2.4545777279521674,8.245600084817628,83,Philip Morris International Inc.,92.52,0.63,0.00686,0,142413678104,6427306,93.81
FVRR,2.4666666666666615,-16.75000000000001,84,Fiverr International Ltd.,68.19,-3.3099976,-0.04629367399999999,467868,2506739955,578584,71.5
ENB.TO,2.499999999999991,0,85,Enbridge Inc.,56.77,0.26000214,0.0046009934,10255778,114993315840,3665188,56.51
BKKT,2.66398809523809,15.855649250440917,86,"Bakkt Holdings, Inc.",5.32,-0.2999997,-0.05338073299999999,4205574,304113986,8712700,5.62
LOCL,2.6722222222222314,0,87,Local Bounti Corporation,6.46,-0.34,-0.05,0,587145191,142323,6.2
VAC,2.863888888888888,0,88,Marriott Vacations Worldwide Corporation,152.13,3.9700012,0.026795363000000003,333227,6405297152,492598,148.16
GS,2.8698872588970525,15.033435754189938,89,"The Goldman Sachs Group, Inc.",329.9,-3.6900024,-0.011061491000000001,2194492,111480799232,3202098,333.59
CRDF,3.0000000000000027,12.728571428571422,90,"Cardiff Oncology, Inc.",2.37,-0.13000011,-0.052000045999999994,301732,103068425,517524,2.5
TSM,3.076209372637928,12.184822461970901,91,Taiwan Semiconductor Manufacturing Company Limited,103.96,-0.98999786,-0.009433043,11686712,555547688960,14348370,104.95
ANY,3.1944557823129216,4.810167147667133,92,Sphere 3D Corp.,1.92,-0.03000009,-0.015384660999999999,2008235,69159710,5112109,1.95
FB,3.294578741294152,10.650532214276254,93,"Meta Platforms, Inc.",195.21,-3.2899933,-0.016574273,24852975,531349929984,31894695,198.5
BABA,3.324979581729881,10.268342781557083,94,Alibaba Group Holding Limited,92.92,-8.010002,-0.079361954,37448985,249722503168,20853630,100.93
LOV,3.3333333333333215,5.982142857142869,95,Spark Networks SE,2.45,-0.18000007,-0.068441086,10350,68772238,74403,2.63
CNQ.TO,3.3333333333333215,0.23333333333332984,96,Canadian Natural Resources Limited,76.92,2.709999,0.036517978,14391794,89473343488,3111762,74.21
INDP,3.541666666666665,15.156250000000004,97,"Indaptus Therapeutics, Inc.",3.7,-0.15,-0.03896,0,30316242,334427,3.85
PAA,3.5805555555555424,13.643640350877195,98,"Plains All American Pipeline, L.P.",11.2,0.3699999,0.034164348000000004,5647435,7896481792,6881292,10.83
M,3.632490662931831,4.354084890965737,99,"Macy's, Inc.",24.76,0.6000004,0.024834451999999996,12838626,7239823872,11795931,24.16
MVIS,3.670246913580244,17.222638888888888,100,"MicroVision, Inc.",4.56,-0.03999996,-0.008695644,3645088,750713224,5069949,4.6
B,3.782855902777782,9.096519813519821,101,Barnes Group Inc.,42.15,-0.9699974,-0.0224953,234702,2136684800,311068,43.12
D-UN.TO,4.0000000000000036,0,102,Dream Office Real Estate Investment Trust,28.54,0.31000137,0.010981274999999999,123552,1378730368,103573,28.23
LKNCY,4.0177827380952325,29.166666666666675,103,Luckin Coffee Inc.,9.28,-1.5700006,-0.14470051,5232090,2550287411,1382965,10.85
E,4.047222222222224,3.9586805555555715,104,Eni S.p.A.,29.25,-0.47999954,-0.016145293,914107,51808768000,772504,29.73
SD,4.134660493827158,6.165757575757569,105,"SandRidge Energy, Inc.",15.92,0.7300005,0.048057966,2011024,583858048,1006983,15.19
RBLX,4.134739641011431,10.615906735751302,106,Roblox Corporation,41.47,-2.9099998,-0.065570073,23351474,22830884511,18344846,44.38
CORN,4.1988766339869255,11.488293650793647,107,Teucrium Corn Fund,26,-0.38,-0.0144,0,207083106,413895,25.83
SENS,4.270833333333335,16.59250000000001,108,"Senseonics Holdings, Inc.",1.73,-0.12000001,-0.06486486400000001,4692447,801242371,6333061,1.85
DOCU,4.324397927520929,5.644223394055614,109,"DocuSign, Inc.",93.88,-4.170006,-0.042529380000000006,11519626,18578626744,5176835,98.05
USO,4.5047023809523745,6.427575603701197,110,"United States Oil Fund, LP",74.06,-1.4100037,-0.018682966999999998,11662830,8820545536,29934554,75.47
EMB,4.6303921568627615,6.248809523809529,111,iShares J.P. Morgan USD Emerging Markets Bond ETF,95.75,0.14,0.00146,0,16440275000,10222226,95.61
BMO,4.910714285714279,-12.102272727272734,112,Bank of Montreal,114.8,-0.09999847,-0.0008703087,645710,75101470720,883174,114.9
IWM,4.939280995934947,4.278287512325263,113,iShares Russell 2000 ETF,199.92,-0.360001,-0.00179749,25660992,56187510784,29048016,200.28
JPM,4.96038263691041,0.35563227513226714,114,JPMorgan Chase & Co.,131.86,-1.5800018,-0.011840541,15121163,389357535232,17536202,133.44
JD,4.989634571507251,0.4320028180354374,115,"JD.com, Inc.",52.52,-9.880001,-0.15833335,54804281,86331850752,9487275,62.4
KTTA,5.000000000000004,0.16666666666667052,116,Pasithea Therapeutics Corp.,1.25,0.02999997,0.024590139999999996,286651,16246296,447154,1.22
LTBR,5.020777777777785,7.162184927983528,117,Lightbridge Corporation,10.75,-1.7399998,-0.13931143,873587,82006827,2751793,12.49
C,5.264914068744986,11.650617283950627,118,Citigroup Inc.,54.88,-1.0699997,-0.019124212,28544488,108711247872,32757051,55.95
ATER,5.269751461988315,14.575986842105259,119,"Aterian, Inc.",2.56,-0.13000011,-0.04832718,2619719,135963043,4374652,2.69
HYLN,5.29100529100528,-16.788235294117637,120,Hyliion Holdings Corp.,4.14,-0.07000017,-0.01662712,1897070,718572046,2260137,4.21
V,5.292578125000014,13.066877104377106,121,Visa Inc.,197.97,-1.7899933,-0.008960719,6872350,428711968768,8457627,199.76
GME,5.3678068213852015,8.107099821013009,122,GameStop Corp.,100.56,-4.6500015,-0.044197335000000004,1353332,7677834537,1399597,105.21
SHOP,5.5126793062904245,13.33328578653683,123,Shopify Inc.,553.18,-34.47003,-0.058657417,2839023,70211264512,3983554,587.65
MVST,5.520370370370387,19.5125,124,"Microvast Holdings, Inc.",9.47,0.7600002,0.08725605,2119140,2839878440,1747527,8.71
THMO,5.530303030303019,21.26999999999999,125,"ThermoGenesis Holdings, Inc.",0.61,-0.0079,-0.012785238999999999,87285,7360291,262960,0.6179
NNDM,5.5333333333333234,16.833950617283943,126,Nano Dimension Ltd.,3.37,0.01999998,0.0059701437000000005,2264680,836041258,2494250,3.35
PHUN,5.60507222793194,16.17916118421052,127,"Phunware, Inc.",2.42,-0.02999997,-0.012244886,2959200,235296630,4141461,2.45
AY,5.733333333333324,26.695,128,Atlantica Sustainable Infrastructure plc,35.14,0.02000046,0.0005694892,457909,3949840471,622370,35.12
ILMN,5.740740740740735,14.702380952380945,129,"Illumina, Inc.",316.04,-8.669983,-0.026700697,768526,49618280448,873582,324.71
MRO,5.7950221238938004,14.09072629969419,130,Marathon Oil Corporation,23.88,0.47999954,0.0205128,24553980,17450668032,39085192,23.4
UA,5.8506944444444375,-3.3074074074074034,131,"Under Armour, Inc.",13.83,0.0699997,0.005087187,4303740,6857287680,4304287,13.76
XSPA,5.8851715686274675,23.279392655367225,132,"XpresSpa Group, Inc.",1.04,-0.00999999,-0.0095238006,560867,108832294,697842,1.05
S,5.995554159687333,9.386009821976682,133,"SentinelOne, Inc.",35.24,0.6000023,0.017321082,5572642,1468752736,6544571,34.64
GOOS,6.000000000000005,11.66666666666667,134,Canada Goose Holdings Inc.,23.46,0.02999878,0.0012803575,768109,2529902848,877721,23.43
NKE,6.008836206896562,5.420515292295769,135,"NIKE, Inc.",126.03,-0.91999817,-0.0072469336,6865172,199291240448,8845072,126.95
GBT,6.154166666666661,9.833095238095236,136,"Global Blood Therapeutics, Inc.",28.6,-0.6099987,-0.020883213999999997,1417589,1849355712,1170265,29.21
GOEV,6.285937499999994,15.10062724014336,137,Canoo Inc.,5.81,-0.03000021,-0.005137022,1854572,1384055665,3980888,5.84
SKLZ,6.3121253968253965,14.576488095238084,138,Skillz Inc.,2.5,-0.1400001,-0.053030343,8496780,924474320,11234774,2.64
INMD,6.561666666666666,2.1310185185185126,139,InMode Ltd.,38.34,-0.6100006,-0.015661118,1250195,3191467520,1126229,38.95
BA,6.605369061641131,10.084206489924563,140,The Boeing Company,178.39,-0.16999817,-0.0009520507,7871526,104001328078,10062148,178.56
ASHR,6.612499999999999,10.292708333333334,141,Xtrackers Harvest CSI 300 China A-Shares ETF,34.01,0.36,0.0107,0,2964565034,7435376,33.68
CCU,6.636904761904772,25,142,Compañía Cervecerías Unidas S.A.,14.21,0.29,0.02083,0,2571739989,146617,14.49
EURN,6.666666666666665,18.988095238095216,143,Euronav NV,11.45,0.14999962,0.013274302,2279351,2519282964,2865567,11.3
ANF,6.666666666666665,8.906250000000004,144,Abercrombie & Fitch Co.,28.93,1.0699997,0.038406305,1432171,1532856064,3166351,27.86
AHI,6.666666666666665,3.0479166666666613,145,Advanced Human Imaging Limited,1.02,-0.02999997,-0.028571403000000002,261520,23770982,815820,1.05
INO,6.693869731800772,22.25761627906977,146,"Inovio Pharmaceuticals, Inc.",3.41,-0.01999998,-0.0058308977,2895985,716363911,3967931,3.43
FTCH,6.728594771241836,9.516898148148133,147,Farfetch Limited,12.68,-0.8699999,-0.06420663,9159526,4284866658,15435152,13.55
AI,6.855152577826984,14.080555555555563,148,"C3.ai, Inc.",19.96,-1.4400005,-0.06728975,3480691,2053321348,3755183,21.4
CFVI,6.9344606782106855,7.415061016881674,149,CF Acquisition Corp. VI,11.43,-0.22999954,-0.019725518,1157114,351515000,749685,11.66
DIS,7.01923570204821,4.896796490799216,150,The Walt Disney Company,133.64,-0.00999451,-0.0000747812,7884764,243308986368,14673081,133.65
EBAY,7.021822184429327,13.56425264550265,151,eBay Inc.,52.36,-0.70000076,-0.013192626,18925699,30763020288,10250423,53.06
ROKU,7.1591072238418985,8.388026980735308,152,"Roku, Inc.",110.85,-6.7000046,-0.05699706,5544097,14998226944,4568703,117.55
BCE,7.239166666666663,10.000000000000009,153,BCE Inc.,54.3,0.27999878,0.0051832426,1178281,51606122496,3154708,54.02
AFRM,7.248754125412549,5.508506736027741,154,"Affirm Holdings, Inc.",36.55,-0.25,-0.006793479,5854380,8176404926,7208905,36.8
SLF,7.269999999999999,0,155,Sun Life Financial Inc.,52.58,0.25,0.0047773743000000006,787121,31009214464,680037,52.33
H,7.4239071637427045,5.436005374723729,156,Hyatt Hotels Corporation,90.86,2.0200043,0.022737556,541370,4573371863,702100,88.84
SPI,7.7187499999999964,18.633979328165374,157,"SPI Energy Co., Ltd.",3.31,-0.23000002,-0.06497175999999999,399641,80657156,621458,3.54
LABU,7.759420289855079,16.527822580645157,158,Direxion Daily S&P Biotech Bull 3X Shares,15.3,-0.3199997,-0.020486536000000003,15023948,877632480,16005076,15.62
LABD,7.761805555555568,15.51979166666666,159,Direxion Daily S&P Biotech Bear 3X Shares,41.43,0.70000076,0.017186368,3486013,50379874,3737913,40.73
BMBL,7.9315327978580985,6.4272804214407175,160,Bumble Inc.,23.24,-0.39999962,-0.016920458,11098904,4290104064,38246975,23.64
AES,7.9398863636363615,21.406250000000004,161,The AES Corporation,22.35,0.3900013,0.017759624,3854203,14916281424,6540739,21.96
IONQ,8.04117647058824,11.911666666666676,162,"IonQ, Inc.",12.75,0.25,0.02,1835752,2454210576,2301565,12.5
UPWK,8.101851851851837,-4.6875,163,Upwork Inc.,19.67,-0.79999924,-0.039081547,1578746,2539087031,2169482,20.47
DRCT,8.126018518518507,11.32492388096724,164,Direct Digital Holdings Inc Class A,2.39,-0.09999991,-0.040160603999999996,8353792,6692000,105778908,2.49
G,8.150572916666675,13.89561224489797,165,Genpact Limited,41.48,-0.10000229,-0.0024050574,523416,7681059328,667355,41.58
FR,8.166666666666655,11.111111111111116,166,"First Industrial Realty Trust, Inc.",58.57,0.25999832,0.0044588977000000005,488319,7718413312,845967,58.31
BB,8.261520553520562,11.086433309642274,167,BlackBerry Limited,6.51,-0.22999954,-0.03412456,10782468,3741701766,5228388,6.74
GILD,8.275487701441886,14.673203703703708,168,"Gilead Sciences, Inc.",57.92,-1.0800018,-0.018305116,13241658,72625307648,13681985,59
PROG,8.50282297178131,-14.298865164096487,169,"Progenity, Inc.",1.26,-0.00999999,-0.0078740084,3588216,206324441,5758162,1.27
UBER,8.53130376832667,11.25280277465317,170,"Uber Technologies, Inc.",30.41,-1.0900002,-0.034603179000000005,30540454,56590152768,33734505,31.5
NVDA,8.54572631233179,8.886702194211015,171,NVIDIA Corporation,226.58,-3.5599976,-0.015468835,42806565,564637335552,49274195,230.14
PTRA,8.571428571428562,20.135000000000012,172,Proterra Inc.,7.18,-0.28999996,-0.03882195,2771186,1565261039,3482959,7.47
SPOT,8.575284900284895,13.57389409315639,173,Spotify Technology S.A.,132.67,-3.75,-0.027488636999999996,1935708,24013270000,1521947,136.42
TNP,8.599999999999985,20.900000000000006,174,Tsakos Energy Navigation Limited,8.7,-0.5,-0.05434783000000001,244952,158303547,463491,9.2
CENN,8.676386465527685,14.077815591610609,175,Cenntro Electric Group Limited,1.31,-0.04000008,-0.029629688,5448530,1183072477,6746765,1.35
POST,8.684374999999989,13.00000000000001,176,"Post Holdings, Inc.",68.39,-32.120003,-0.31957021999999996,494766,4230577920,633351,100.51
BBIG,8.80509232644544,4.16580531480375,177,"Vinco Ventures, Inc.",2.24,-0.05999994,-0.026086931,11696238,307066679,15890187,2.3
FORD,8.914583333333326,21.150000000000002,178,"Forward Industries, Inc.",1.64,0.09000003,0.058064537,23347,16600955,64171,1.55
SPCE,8.93112698412699,10.14150760855308,179,"Virgin Galactic Holdings, Inc.",7.57,-0.25,-0.03196931,9608831,1955251159,11470460,7.82
SNAX,8.958333333333336,15.72916666666666,180,"Stryve Foods, Inc.",2.72,0.10000014,0.038167994,526068,23247014,406572,2.62
APLE,8.983333333333343,9.101041666666676,181,"Apple Hospitality REIT, Inc.",17.99,0.29999924,0.016958690000000002,1277388,4106325504,1548635,17.69
INDO,8.991203414434024,10.892435175087844,182,Indonesia Energy Corporation Limited,37.36,-2.57,-0.06436,0,305353255,7748678,33.65
ORGN,9.0185648148148,17.252380952380953,183,"Origin Materials, Inc.",6.35,0.23999977,0.039279829999999995,1398977,897267712,2284168,6.11
SPWR,9.026747311827954,11.784621212121206,184,SunPower Corporation,20.89,0.01999855,0.0009582438,3777594,3616392488,6060945,20.87
FCX,9.034703389830522,22.44159982174687,185,Freeport-McMoRan Inc.,47.71,0.7199974,0.015322354,16543447,69407555584,23418117,46.99
SNAP,9.064604377104368,14.365434782608698,186,Snap Inc.,31.74,-1.9400005,-0.057600965000000004,20606874,47292177477,26986366,33.68
MULN,9.08431781460397,10.229373245204743,187,Mullen Automotive Inc,1.07,-0.07999992,-0.069565153,81211532,37038842,110649332,1.15
F,9.165130636325337,13.496946897228357,188,Ford Motor Company,16.33,-0.04000092,-0.00244355,71913979,65389404160,62846720,16.37
PSFE,9.177395833333325,5.631513409961686,189,Paysafe Limited,3.23,0.1500001,0.04870133,8732955,473851804,9407789,3.08
XLE,9.18500555555557,8.368056335343454,190,Energy Select Sector SPDR Fund,77.47,2.300003,0.030597352999999997,68717110,14442267648,87018243,75.17
CSIQ,9.227941176470589,11.220833333333324,191,Canadian Solar Inc.,34.92,-2.1200027,-0.057235494,1542085,2095116032,1851242,37.04
Z,9.232709750566892,13.074543946931993,192,"Zillow Group, Inc.",49.86,-1.1800003,-0.023119128,2529947,12119363706,3540664,51.04
MARA,9.27281084656084,8.890671326634635,193,"Marathon Digital Holdings, Inc.",24.75,-0.9300003,-0.036214967,9376086,2536002793,15227990,25.68
NRXP,9.290277777777778,5.616319444444451,194,"NRx Pharmaceuticals, Inc.",3.04,-0.26,-0.07878788,629064,178489376,2578696,3.3
AQB,9.302753623188398,10.436666666666671,195,"AquaBounty Technologies, Inc.",1.93,0.53,0.37857143,8421508,134238645,800149,1.4
STM,9.39714285714286,4.989583333333325,196,STMicroelectronics N.V.,38.82,-0.9599991,-0.024132707,3754796,35912577024,6726116,39.78
PTON,9.41151305683563,15.171183206106864,197,"Peloton Interactive, Inc.",22.61,-0.8299999,-0.03540955,8629180,6850742590,7501141,23.44
LI,9.41157856414736,15.007595111700955,198,Li Auto Inc.,25.99,-1.6399994,-0.05935575,10703496,23328507565,13420135,27.63
TSLA,9.435433610694922,9.687948768313447,199,"Tesla, Inc.",838.3,-20.669983,-0.024063685,19549548,866391425024,19727993,858.97
CLOV,9.45181533646322,11.142510747354507,200,"Clover Health Investments, Corp.",3.12,-0.02000022,-0.006369496,13265584,1374868186,25952465,3.14
